Metric,QEA,QEA0,REA-BTS,REA-DB1-BCST,REA-DB1-BTS,REA-DB1-BW,REA-LDB-BCST,REA-LDB-BTS,REA-LDB-BW,scalar,station,QC,QEA0_rel,REA-BTS_rel,REA-LDB-BTS_rel,REA-LDB-BCST_rel,REA-LDB-BW_rel,REA-DB1-BTS_rel,REA-DB1-BCST_rel,REA-DB1-BW_rel
Er_intercept,0.000138045624515178,0.073786488064295,-0.124636921407778,-0.0496779521088338,-0.251391868269693,-0.0257989777596603,0.0160769927891576,-0.305832134224966,0.0334148472329948,co2,Hainich,FALSE,534.51,902.87,2215.44,116.46,242.06,1821.08,359.87,186.89
Median_er_ratio,1.00009062440228,0.970890638191101,1.01883502545616,0.992471358720371,0.998644381939601,0.986852981681629,1.01132922628146,1.01351104026947,1.08593441613632,co2,Hainich,FALSE,0.97,1.02,1.01,1.01,1.09,1,0.99,0.99
Er_slope,-2.1458545870888e-05,-0.00697155541581401,-0.0288340091915869,0.0218424321017798,-0.00525306083752265,0.017775678603675,-0.0284716042623601,-0.0357185359518744,-0.113931912173139,co2,Hainich,FALSE,324.88,1343.71,1664.54,1326.82,5309.4,244.8,1017.89,828.37
Er_slope1,0.000138045624515178,0.073786488064295,-0.124636921407778,-0.0496779521088338,-0.251391868269693,-0.0257989777596603,0.0160769927891576,-0.305832134224966,0.0334148472329948,co2,Hainich,FALSE,534.51,902.87,2215.44,116.46,242.06,1821.08,359.87,186.89
Er_slope1.p,0.826578356392975,1.36002339137234e-05,0.382310270023039,0.0088132961511723,0.275810064185804,0.159542820043002,0.437699730174351,0.359515584985494,0.146035266273851,co2,Hainich,FALSE,0,0.46,0.43,0.53,0.18,0.33,0.01,0.19
Er_intercept.p,0.826578356392975,1.36002339137234e-05,0.382310270023039,0.0088132961511723,0.275810064185804,0.159542820043002,0.437699730174351,0.359515584985494,0.146035266273851,co2,Hainich,FALSE,0,0.46,0.43,0.53,0.18,0.33,0.01,0.19
Er_slope.p,0.648720213792362,3.94270623863298e-08,0.00688804067998964,6.65440921310152e-52,0.760653588310092,1.38387171854321e-37,3.90454631618929e-72,0.152341897382035,0,co2,Hainich,FALSE,0,0.01,0.23,0,0,1.17,0,0
Er_intercept.se,0.000630033202909788,0.0169373434489312,0.142644688013917,0.0189560643406474,0.230645130162776,0.0183373179557665,0.0207131681410352,0.333728734689002,0.0229812678552584,co2,Hainich,FALSE,26.88,226.41,529.7,32.88,36.48,366.08,30.09,29.11
Er_slope.se,4.7101572854768e-05,0.00126624360865675,0.0106641826713301,0.00141716411366421,0.0172431363169204,0.00137090634853137,0.00154852600425207,0.0249497141390091,0.0017180901850571,co2,Hainich,FALSE,26.88,226.41,529.7,32.88,36.48,366.08,30.09,29.11
nondim_u,0.00207303114793088,0.0436876788541356,0.402530312928724,0.0672532051368641,0.342020007069544,0.0611653942301015,0.0650453126084586,1.23818372504616,0.0675243523330656,co2,Hainich,FALSE,21.07,194.17,597.28,31.38,32.57,164.99,32.44,29.51
nondim_err_mean,5.65542720981786e-05,0.00742932543486441,-0.00473382981423266,-0.0041332026981291,-0.00448000647061581,-0.00168428216692149,0.00690271411157535,0.00542831072311844,0.0184843100624884,co2,Hainich,FALSE,131.37,83.7,95.98,122.05,326.84,79.22,73.08,29.78
Er_mean,2.61347405094818e-05,-0.0294173747032822,-0.06081246583886,0.0220687841591974,0.00447072051778527,0.021703542893601,-0.0483676261207803,0.0932851348266861,-0.123549067453348,h2o,Hainich,FALSE,1125.6,2326.88,3569.39,1850.7,4727.39,171.06,844.42,830.45
Er_mean_rel,2.97796572237634e-05,-0.0335201084077694,-0.0692937581284207,0.0251466368058134,0.00509423556413689,0.02473045667617,-0.0551132821112728,0.106295271544915,-0.140780004214753,h2o,Hainich,FALSE,1125.6,2326.88,3569.39,1850.7,4727.39,171.06,844.42,830.45
flux_mean,0.877603805614894,0.877603805614894,0.877603805614894,0.877603805614894,0.877603805614894,0.877603805614894,0.877603805614894,0.877603805614894,0.877603805614894,h2o,Hainich,FALSE,1,1,1,1,1,1,1,1
flux_sum,3062.83728159598,3062.83728159598,3062.83728159598,3062.83728159598,3062.83728159598,3062.83728159598,3062.83728159598,3062.83728159598,3062.83728159598,h2o,Hainich,FALSE,1,1,1,1,1,1,1,1
flux_sd,1.20264911264491,1.20264911264491,1.20264911264491,1.20264911264491,1.20264911264491,1.20264911264491,1.20264911264491,1.20264911264491,1.20264911264491,h2o,Hainich,FALSE,1,1,1,1,1,1,1,1
Er_sum,0.0912102443780915,-102.666637714455,-212.235505777621,77.020056715599,15.6028146070706,75.7453646986677,-168.803015161523,325.565120545135,-431.186245412186,h2o,Hainich,FALSE,1125.6,2326.88,3569.39,1850.7,4727.39,171.06,844.42,830.45
MAE,0.0014681188596931,0.0819469214913903,0.179890870763468,0.0837812801325409,0.108472653790958,0.080372909989276,0.0961319406901957,0.257235741281975,0.156782444205518,h2o,Hainich,FALSE,55.82,122.53,175.21,65.48,106.79,73.89,57.07,54.75
MAE_rel,0.0183484477823576,0.725958015726144,1.47998837969283,1.01403125252718,1.2942552207232,0.966867889969622,0.990504449468228,1.65199841224313,1.07504570516279,h2o,Hainich,FALSE,39.57,80.66,90.03,53.98,58.59,70.54,55.27,52.69
