Metric,QEA,QEA0,REA-BTS,REA-DB1-BCST,REA-DB1-BTS,REA-DB1-BW,REA-LDB-BCST,REA-LDB-BTS,REA-LDB-BW,scalar,station,QC,QEA0_rel,REA-BTS_rel,REA-LDB-BTS_rel,REA-LDB-BCST_rel,REA-LDB-BW_rel,REA-DB1-BTS_rel,REA-DB1-BCST_rel,REA-DB1-BW_rel
nondim_u,0.00323907801715685,0.0401850245157072,0.45707477150474,0.0550666509274704,2.2226144111069,0.0503722753382965,0.0511399582833515,0.340355739931554,0.0505854413846022,co2,Braunschweig,FALSE,12.41,141.11,105.08,15.79,15.62,686.19,17,15.55
nondim_err_mean,0.000146960742785881,0.00577672238696383,0.00530275421777808,-0.0031935986247268,-0.0369930621207346,0.000192193950160611,0.00343849098705858,0.0108971071232671,0.0069142165287253,co2,Braunschweig,FALSE,39.31,36.08,74.15,23.4,47.05,251.72,21.73,1.31
Er_mean,0.000320075281720694,0.0530437429692349,-0.0318467919708979,0.013883448825657,0.121621950965223,0.0121559438729805,-0.0113414582392394,-0.0259968039605173,-0.0638372393334932,h2o,Braunschweig,FALSE,165.72,99.5,81.22,35.43,199.44,379.98,43.38,37.98
Er_mean_rel,0.000351738564050885,0.0582910679124666,-0.0349972194580329,0.0152568618474946,0.133653339800556,0.0133584643574458,-0.0124634061520384,-0.0285685243978448,-0.0701523053433706,h2o,Braunschweig,FALSE,165.72,99.5,81.22,35.43,199.44,379.98,43.38,37.98
flux_mean,0.90998063457833,0.90998063457833,0.90998063457833,0.90998063457833,0.90998063457833,0.90998063457833,0.90998063457833,0.90998063457833,0.90998063457833,h2o,Braunschweig,FALSE,1,1,1,1,1,1,1,1
flux_sum,2862.79907638343,2862.79907638343,2862.79907638343,2862.79907638343,2862.79907638343,2862.79907638343,2862.79907638343,2862.79907638343,2862.79907638343,h2o,Braunschweig,FALSE,1,1,1,1,1,1,1,1
flux_sd,1.13888783820427,1.13888783820427,1.13888783820427,1.13888783820427,1.13888783820427,1.13888783820427,1.13888783820427,1.13888783820427,1.13888783820427,h2o,Braunschweig,FALSE,1,1,1,1,1,1,1,1
Er_sum,1.0069568362933,166.875615381213,-100.190007540445,43.6773300055171,382.622657736592,38.2425994243967,-35.6802276206471,-81.7859452597874,-200.83195494317,h2o,Braunschweig,FALSE,165.72,99.5,81.22,35.43,199.44,379.98,43.38,37.98
MAE,0.00816338740616787,0.0802468141765121,0.187164456920747,0.0728464017850764,0.27722120045757,0.0669095129622759,0.074675938677381,0.147925263069409,0.107368742934179,h2o,Braunschweig,FALSE,9.83,22.93,18.12,9.15,13.15,33.96,8.92,8.2
MAE_rel,0.0160355910455571,0.343789622702423,1.94745727927896,0.476288858940846,1.16595056836295,0.443864335670926,0.451641017377365,0.909752084622841,0.468166679502208,h2o,Braunschweig,FALSE,21.44,121.45,56.73,28.16,29.2,72.71,29.7,27.68
Er_sd,0.0152048598066963,0.133303636740635,1.37392664180422,0.156353615010501,5.5657655839835,0.152177142759881,0.152746793505477,1.00385841218714,0.18282793789087,h2o,Braunschweig,FALSE,8.77,90.36,66.02,10.05,12.02,366.05,10.28,10.01
Er_rmse,0.0152058121674293,0.143449816446857,1.37407736738648,0.156944042358901,5.56620981690458,0.152637769552011,0.153143055121641,1.00403546946727,0.193624954644728,h2o,Braunschweig,FALSE,9.43,90.37,66.03,10.07,12.73,366.06,10.32,10.04
